ratingId,userId,movieId,rating,timestamp
2,1,31,2.5,1260759144
3,1,1029,3.0,1260759179
4,1,1061,3.0,1260759182
5,1,1129,2.0,1260759185
6,1,1172,4.0,1260759205
7,1,1263,2.0,1260759151
8,1,1287,2.0,1260759187
9,1,1293,2.0,1260759148
10,1,1339,3.5,1260759125
11,1,1343,2.0,1260759131
12,1,1371,2.5,1260759135
13,1,1405,1.0,1260759203
14,1,1953,4.0,1260759191
15,1,2105,4.0,1260759139
16,1,2150,3.0,1260759194
17,1,2193,2.0,1260759198
18,1,2294,2.0,1260759108
19,1,2455,2.5,1260759113
20,1,2968,1.0,1260759200
21,1,3671,3.0,1260759117
22,2,10,4.0,835355493
23,2,17,5.0,835355681
24,2,39,5.0,835355604
25,2,47,4.0,835355552
26,2,50,4.0,835355586
27,2,52,3.0,835356031
28,2,62,3.0,835355749
29,2,110,4.0,835355532
30,2,144,3.0,835356016
31,2,150,5.0,835355395
32,2,153,4.0,835355441
33,2,161,3.0,835355493
34,2,165,3.0,835355441
35,2,168,3.0,835355710
36,2,185,3.0,835355511
37,2,186,3.0,835355664
38,2,208,3.0,835355511
39,2,222,5.0,835355840
40,2,223,1.0,835355749
41,2,225,3.0,835355552
42,2,235,3.0,835355664
43,2,248,3.0,835355896
44,2,253,4.0,835355511
45,2,261,4.0,835355681
46,2,265,5.0,835355697
47,2,266,5.0,835355586
48,2,272,3.0,835355767
49,2,273,4.0,835355779
50,2,292,3.0,835355492
51,2,296,4.0,835355395
52,2,300,3.0,835355532
53,2,314,4.0,835356044
54,2,317,2.0,835355551
55,2,319,1.0,835355918
56,2,339,3.0,835355492
57,2,349,4.0,835355441
58,2,350,4.0,835355697
59,2,356,3.0,835355628
60,2,357,3.0,835355749
61,2,364,3.0,835355604
62,2,367,3.0,835355619
63,2,370,2.0,835355932
64,2,371,3.0,835355968
65,2,372,3.0,835356094
66,2,377,3.0,835355710
67,2,382,3.0,835356165
68,2,405,2.0,835356246
69,2,410,3.0,835355532
70,2,454,4.0,835355604
71,2,457,3.0,835355511
72,2,468,4.0,835355790
73,2,474,2.0,835355828
74,2,480,4.0,835355643
75,2,485,3.0,835355918
76,2,497,3.0,835355880
77,2,500,4.0,835355731
78,2,508,4.0,835355860
79,2,509,4.0,835355719
80,2,515,4.0,835355817
81,2,527,4.0,835355731
82,2,537,4.0,835356199
83,2,539,3.0,835355767
84,2,550,3.0,835356109
85,2,551,5.0,835355767
86,2,552,3.0,835355860
87,2,585,5.0,835355817
88,2,586,3.0,835355790
89,2,587,3.0,835355779
90,2,588,3.0,835355441
91,2,589,5.0,835355697
92,2,590,5.0,835355395
93,2,592,5.0,835355395
94,2,593,3.0,835355511
95,2,616,3.0,835355932
